iter	RMSE
0	6020.594113
1	5646.189671
2	5321.526152
3	5045.482031
4	4812.092462
5	4610.725638
6	4441.165779
7	4297.7651
8	4178.967698
9	4087.988903
10	3985.678571
11	3897.741051
12	3828.070243
13	3772.44528
14	3721.138707
15	3682.984061
16	3649.648363
17	3602.110171
18	3566.280685
19	3534.265562
20	3509.884501
21	3474.451255
22	3450.758731
23	3420.053013
24	3393.834696
25	3376.971537
26	3352.111087
27	3335.942846
28	3315.063033
29	3298.923616
30	3278.863012
31	3261.215084
32	3249.824828
33	3235.673179
34	3220.081585
35	3207.805975
36	3198.190666
37	3185.498623
38	3174.217429
39	3164.074177
40	3154.279548
41	3141.155868
42	3132.375867
43	3124.757941
44	3113.807663
45	3101.163585
46	3092.314841
47	3087.165224
48	3076.604469
49	3067.418357
50	3061.542337
51	3057.268016
52	3050.219235
53	3045.032812
54	3035.965572
55	3029.900248
56	3024.275463
57	3018.667735
58	3014.123518
59	3009.241017
60	2999.063494
61	2989.315903
62	2985.899257
63	2980.620934
64	2976.999796
65	2971.518154
66	2967.15564
67	2963.711061
68	2959.753009
69	2956.493199
70	2950.185806
71	2946.440658
72	2942.721943
73	2938.598987
74	2935.818675
75	2928.195709
76	2923.924832
77	2917.677611
78	2914.785264
79	2912.295436
80	2903.610787
81	2901.56451
82	2899.259397
83	2896.224365
84	2892.755694
85	2888.708348
86	2879.950204
87	2874.298551
88	2869.131174
89	2860.353209
90	2857.988364
91	2854.493309
92	2851.896445
93	2849.370179
94	2845.589678
95	2840.646825
96	2836.716642
97	2832.20594
98	2826.079385
99	2823.80447
100	2821.318696
101	2815.691692
102	2813.63127
103	2810.197829
104	2801.188032
105	2797.569463
106	2793.609061
