iter	Passed	Remaining
0	174	173897
1	196	98244
2	225	74988
3	245	61046
4	264	52670
5	283	46972
6	301	42712
7	317	39412
8	334	36779
9	349	34570
10	362	32598
11	376	31023
12	390	29680
13	405	28575
14	420	27600
15	435	26799
16	450	26030
17	464	25325
18	479	24734
19	493	24170
20	506	23633
21	519	23111
22	534	22695
23	547	22283
24	562	21941
25	576	21607
26	591	21326
27	605	21021
28	620	20777
29	636	20594
30	651	20369
31	667	20200
32	682	19996
33	695	19758
34	709	19552
35	724	19388
36	738	19233
37	752	19059
38	766	18886
39	780	18720
40	793	18566
41	807	18427
42	821	18281
43	834	18137
44	847	17995
45	861	17874
46	875	17744
47	890	17655
48	904	17546
49	917	17429
50	934	17389
51	950	17323
52	964	17238
53	979	17152
54	992	17048
55	1006	16968
56	1021	16898
57	1035	16823
58	1048	16719
59	1062	16640
60	1074	16534
61	1096	16582
62	1109	16494
63	1123	16424
64	1136	16350
65	1150	16285
66	1165	16225
67	1178	16150
68	1191	16083
69	1204	16005
70	1218	15944
71	1231	15869
72	1243	15793
73	1256	15726
74	1269	15656
75	1283	15604
76	1297	15548
77	1310	15485
78	1324	15436
79	1338	15389
80	1352	15344
81	1364	15280
82	1380	15250
83	1396	15227
84	1414	15229
85	1432	15222
86	1450	15226
87	1469	15225
88	1487	15221
89	1503	15200
90	1517	15153
91	1530	15108
92	1544	15063
93	1559	15031
94	1572	14983
95	1585	14934
96	1599	14885
97	1614	14856
98	1630	14839
99	1645	14807
100	1659	14774
101	1674	14743
102	1687	14699
103	1700	14649
104	1713	14606
105	1726	14558
106	1740	14529
